9/23/2020 2:42:33 PM,Program state changed to: Active
9/23/2020 2:42:36 PM,Program state changed to: Stop
9/23/2020 2:46:20 PM,Program state changed to: Reset
9/23/2020 2:46:26 PM,Program state changed to: Stop
9/23/2020 2:46:41 PM,Program state changed to: Active
9/23/2020 2:46:59 PM,Program state changed to: Stop
9/23/2020 2:47:05 PM,Program state changed to: Active
9/23/2020 2:47:11 PM,Program state changed to: Stop
9/23/2020 2:47:14 PM,Program state changed to: Active
9/23/2020 2:48:13 PM,Program state changed to: Stop
9/23/2020 2:48:20 PM,Program state changed to: Active
9/23/2020 2:49:23 PM,Program state changed to: Stop
9/23/2020 2:49:58 PM,Program state changed to: Active
9/23/2020 2:51:05 PM,Program state changed to: Stop
9/23/2020 2:51:08 PM,Program state changed to: Active
9/23/2020 2:54:05 PM,Program state changed to: Stop
9/23/2020 2:54:42 PM,Program state changed to: Active
9/23/2020 2:56:22 PM,Program state changed to: Stop
9/23/2020 3:05:43 PM,Program state changed to: Reset
9/23/2020 3:05:49 PM,Program state changed to: Active
9/23/2020 3:06:04 PM,Program state changed to: Stop
9/23/2020 3:06:28 PM,Program state changed to: Active
9/23/2020 3:11:54 PM,Program state changed to: Stop
9/23/2020 3:12:10 PM,Program state changed to: Active
9/23/2020 3:13:49 PM,Program state changed to: Stop
9/23/2020 3:13:55 PM,Program state changed to: Active
9/23/2020 3:15:34 PM,Program state changed to: Stop
9/23/2020 3:16:03 PM,Program state changed to: Active
9/23/2020 3:17:42 PM,Program state changed to: Stop
9/23/2020 3:17:48 PM,Program state changed to: Active
9/23/2020 3:17:54 PM,Program state changed to: Stop
9/23/2020 3:18:01 PM,Program state changed to: Active
9/23/2020 3:22:56 PM,Program state changed to: Stop
9/23/2020 3:23:49 PM,Program state changed to: Active
9/23/2020 3:25:26 PM,Program state changed to: Stop
9/23/2020 3:25:29 PM,Program state changed to: Reset
9/23/2020 4:01:23 PM,Program state changed to: Active
9/23/2020 4:01:35 PM,Program state changed to: Stop
9/23/2020 4:09:32 PM,Program state changed to: Free
9/23/2020 4:17:32 PM,Program state changed to: Reset
9/23/2020 4:17:38 PM,Program state changed to: Active
9/23/2020 4:17:53 PM,Program state changed to: Stop
9/23/2020 4:24:05 PM,Program state changed to: Active
9/23/2020 4:24:29 PM,Program state changed to: Stop
9/23/2020 4:24:41 PM,Program state changed to: Active
9/23/2020 4:24:59 PM,Program state changed to: Stop
9/23/2020 4:25:02 PM,Program state changed to: Active
9/23/2020 4:25:36 PM,Program state changed to: Stop
9/23/2020 4:25:39 PM,Program state changed to: Active
9/23/2020 4:27:15 PM,Program state changed to: Stop
9/23/2020 4:28:28 PM,Program state changed to: Active
9/23/2020 4:28:44 PM,Program state changed to: Stop
9/23/2020 4:28:50 PM,Program state changed to: Active
9/23/2020 4:31:19 PM,Program state changed to: Stop
9/23/2020 4:31:37 PM,Program state changed to: Reset
9/23/2020 4:34:49 PM,Program state changed to: Active
9/23/2020 4:35:08 PM,Program state changed to: Stop
9/23/2020 4:35:29 PM,Program state changed to: Active
9/23/2020 4:35:41 PM,Program state changed to: Stop
9/23/2020 4:35:44 PM,Program state changed to: Active
9/23/2020 4:38:54 PM,Program state changed to: Stop
9/23/2020 4:39:48 PM,Program state changed to: Active
9/23/2020 4:40:04 PM,Program state changed to: Stop
9/23/2020 4:40:13 PM,Program state changed to: Active
9/23/2020 4:42:07 PM,Program state changed to: Stop
9/23/2020 4:42:23 PM,Program state changed to: Active
9/23/2020 4:44:51 PM,Program state changed to: Stop
